,Title,Link,Price,Stock
0,A Light in the Attic,a-light-in-the-attic_1000/index.html,51.77,In stock
1,Tipping the Velvet,tipping-the-velvet_999/index.html,53.74,In stock
2,Soumission,soumission_998/index.html,50.10,In stock
3,Sharp Objects,sharp-objects_997/index.html,47.82,In stock
4,Sapiens: A Brief History of Humankind,sapiens-a-brief-history-of-humankind_996/index.html,54.23,In stock
5,The Requiem Red,the-requiem-red_995/index.html,22.65,In stock
6,The Dirty Little Secrets of Getting Your Dream Job,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,In stock
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,In stock
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.60,In stock
9,The Black Maria,the-black-maria_991/index.html,52.15,In stock
10,"Starving Hearts (Triangular Trade Trilogy, #1)",starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,In stock
11,Shakespeare's Sonnets,shakespeares-sonnets_989/index.html,20.66,In stock
12,Set Me Free,set-me-free_988/index.html,17.46,In stock
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,In stock
14,Rip it Up and Start Again,rip-it-up-and-start-again_986/index.html,35.02,In stock
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,In stock
16,Olio,olio_984/index.html,23.88,In stock
17,Mesaerion: The Best Science Fiction Stories 1800-1849,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,In stock
18,Libertarianism for Beginners,libertarianism-for-beginners_982/index.html,51.33,In stock
19,It's Only the Himalayas,its-only-the-himalayas_981/index.html,45.17,In stock
20,In Her Wake,in-her-wake_980/index.html,12.84,In stock
21,How Music Works,how-music-works_979/index.html,37.32,In stock
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,30.52,In stock
23,Chase Me (Paris Nights #2),chase-me-paris-nights-2_977/index.html,25.27,In stock
24,Black Dust,black-dust_976/index.html,34.53,In stock
25,Birdsong: A Story in Pictures,birdsong-a-story-in-pictures_975/index.html,54.64,In stock
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,22.50,In stock
27,Aladdin and His Wonderful Lamp,aladdin-and-his-wonderful-lamp_973/index.html,53.13,In stock
28,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,40.30,In stock
29,Wall and Piece,wall-and-piece_971/index.html,44.18,In stock
30,The Four Agreements: A Practical Guide to Personal Freedom,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,17.66,In stock
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,31.05,In stock
32,The Elephant Tree,the-elephant-tree_968/index.html,23.82,In stock
33,The Bear and the Piano,the-bear-and-the-piano_967/index.html,36.89,In stock
34,Sophie's World,sophies-world_966/index.html,15.94,In stock
35,Penny Maybe,penny-maybe_965/index.html,33.29,In stock
36,Maude (1883-1993):She Grew Up with the country,maude-1883-1993she-grew-up-with-the-country_964/index.html,18.02,In stock
37,"In a Dark, Dark Wood",in-a-dark-dark-wood_963/index.html,19.63,In stock
38,Behind Closed Doors,behind-closed-doors_962/index.html,52.22,In stock
39,You can't bury them all: Poems,you-cant-bury-them-all-poems_961/index.html,33.63,In stock
40,Slow States of Collapse: Poems,slow-states-of-collapse-poems_960/index.html,57.31,In stock
41,Reasons to Stay Alive,reasons-to-stay-alive_959/index.html,26.41,In stock
42,Private Paris (Private #10),private-paris-private-10_958/index.html,47.61,In stock
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,23.11,In stock
44,Without Borders (Wanderlove #1),without-borders-wanderlove-1_956/index.html,45.07,In stock
45,When We Collided,when-we-collided_955/index.html,31.77,In stock
46,"We Love You, Charlie Freeman",we-love-you-charlie-freeman_954/index.html,50.27,In stock
47,Untitled Collection: Sabbath Poems 2014,untitled-collection-sabbath-poems-2014_953/index.html,14.27,In stock
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,44.18,In stock
49,Unicorn Tracks,unicorn-tracks_951/index.html,18.78,In stock
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,25.52,In stock
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,16.28,In stock
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,31.12,In stock
53,This One Summer,this-one-summer_947/index.html,19.49,In stock
54,Thirst,thirst_946/index.html,17.27,In stock
55,The Torch Is Passed: A Harding Family Story,the-torch-is-passed-a-harding-family-story_945/index.html,19.09,In stock
56,The Secret of Dreadwillow Carse,the-secret-of-dreadwillow-carse_944/index.html,56.13,In stock
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,56.41,In stock
58,The Past Never Ends,the-past-never-ends_942/index.html,56.50,In stock
59,The Natural History of Us (The Fine Art of Pretending #2),the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,45.22,In stock
60,The Nameless City (The Nameless City #1),the-nameless-city-the-nameless-city-1_940/index.html,38.16,In stock
61,The Murder That Never Was (Forensic Instincts #5),the-murder-that-never-was-forensic-instincts-5_939/index.html,54.11,In stock
